# Forward reconstruction (consistency check), model R3: E=344 kJ/mol, lnA=58.6. T (C), alpha experimental and modelled for each beta.
T_C_1K,alpha_exp_1K,alpha_model_1K,T_C_3K,alpha_exp_3K,alpha_model_3K,T_C_5K,alpha_exp_5K,alpha_model_5K
339.858,0.0871036,0.12813,350.577,0.0870878,0.133425,356.772,0.0871188,0.153058
339.892,0.0876021,0.128873,350.609,0.0875863,0.13417,356.804,0.0876173,0.153897
339.926,0.0881035,0.129618,350.642,0.0880877,0.134917,356.836,0.0881187,0.154737
339.96,0.0886077,0.130366,350.674,0.0885919,0.135666,356.867,0.0886229,0.155581
339.994,0.0891147,0.131116,350.706,0.089099,0.136417,356.899,0.0891299,0.156426
340.028,0.0896247,0.131868,350.738,0.0896089,0.13717,356.931,0.0896398,0.157274
340.062,0.0901375,0.132623,350.77,0.0901217,0.137925,356.963,0.0901526,0.158123
340.096,0.0906532,0.13338,350.802,0.0906374,0.138683,356.995,0.0906683,0.158976
340.129,0.0911718,0.134139,350.834,0.091156,0.139442,357.027,0.0911869,0.15983
340.163,0.0916933,0.134901,350.866,0.0916776,0.140204,357.058,0.0917084,0.160687
340.197,0.0922178,0.135666,350.898,0.0922021,0.140968,357.09,0.0922329,0.161546
340.231,0.0927452,0.136432,350.93,0.0927295,0.141734,357.122,0.0927604,0.162407
340.265,0.0932757,0.137201,350.962,0.0932599,0.142502,357.154,0.0932908,0.16327
340.299,0.0938091,0.137973,350.995,0.0937934,0.143272,357.186,0.0938242,0.164136
340.333,0.0943455,0.138747,351.027,0.0943298,0.144045,357.218,0.0943606,0.165004
340.367,0.0948849,0.139523,351.059,0.0948692,0.144819,357.25,0.0949,0.165874
340.401,0.0954274,0.140302,351.091,0.0954117,0.145596,357.281,0.0954425,0.166747
340.435,0.095973,0.141083,351.123,0.0959573,0.146375,357.313,0.095988,0.167622
340.469,0.0965216,0.141867,351.155,0.0965059,0.147157,357.345,0.0965366,0.168499
340.503,0.0970733,0.142653,351.187,0.0970576,0.14794,357.377,0.0970883,0.169378
340.537,0.0976281,0.143442,351.219,0.0976124,0.148726,357.409,0.0976431,0.17026
340.571,0.098186,0.144233,351.251,0.0981704,0.149514,357.441,0.098201,0.171144
340.605,0.098747,0.145026,351.283,0.0987314,0.150304,357.472,0.0987621,0.17203
340.638,0.0993112,0.145822,351.316,0.0992956,0.151096,357.504,0.0993263,0.172919
