# DSC deconvolution: T (C), smoothed signal, baseline, components (mW/mg).
T_C_1K,DSC_smoothed_1K,baseline_1K,peak_minus_baseline_1K,FS_fit_1K,T_C_3K,DSC_smoothed_3K,baseline_3K,peak_minus_baseline_3K,FS_fit_3K,T_C_5K,DSC_smoothed_5K,baseline_5K,peak_minus_baseline_5K,FS_fit_5K
505.077,-1.34364,-1.36124,0.0176026,-1.35056,513.863,-0.620257,-0.63654,0.0162833,-0.635507,517.544,-0.56182,-0.584758,0.0229379,-0.57837
505.116,-1.34375,-1.36151,0.0177553,-1.35072,513.908,-0.620271,-0.636691,0.0164209,-0.635641,517.587,-0.561655,-0.584857,0.0232015,-0.578396
505.155,-1.34393,-1.36177,0.0178483,-1.35088,513.953,-0.62029,-0.636843,0.016553,-0.635775,517.629,-0.56149,-0.584955,0.0234652,-0.578421
505.194,-1.34401,-1.36204,0.0180351,-1.35104,513.998,-0.620322,-0.636994,0.0166719,-0.635909,517.672,-0.561326,-0.585054,0.0237282,-0.578445
505.233,-1.34408,-1.36231,0.0182256,-1.3512,514.043,-0.620372,-0.637145,0.0167727,-0.636042,517.714,-0.56115,-0.585152,0.0240023,-0.578469
505.272,-1.3442,-1.36257,0.0183785,-1.35136,514.088,-0.620441,-0.637296,0.0168549,-0.636175,517.757,-0.560966,-0.585251,0.0242853,-0.578492
505.311,-1.34432,-1.36284,0.0185238,-1.35151,514.133,-0.620497,-0.637447,0.0169496,-0.636308,517.799,-0.56079,-0.585349,0.0245597,-0.578514
505.35,-1.34445,-1.36311,0.0186574,-1.35167,514.178,-0.620538,-0.637598,0.01706,-0.636441,517.842,-0.560612,-0.585448,0.0248364,-0.578535
505.389,-1.34455,-1.36337,0.0188235,-1.35182,514.223,-0.620562,-0.637749,0.0171871,-0.636573,517.884,-0.560431,-0.585547,0.0251159,-0.578555
505.428,-1.34465,-1.36364,0.0189917,-1.35198,514.268,-0.620573,-0.6379,0.0173272,-0.636705,517.927,-0.560233,-0.585645,0.0254119,-0.578575
505.467,-1.34474,-1.36391,0.0191716,-1.35213,514.313,-0.620601,-0.638052,0.0174507,-0.636837,517.969,-0.560034,-0.585744,0.0257099,-0.578594
505.506,-1.34488,-1.36417,0.0192971,-1.35228,514.358,-0.620623,-0.638203,0.01758,-0.636968,518.012,-0.559838,-0.585842,0.0260046,-0.578612
505.545,-1.34509,-1.36444,0.019347,-1.35244,514.403,-0.62065,-0.638354,0.0177039,-0.637099,518.054,-0.559647,-0.585941,0.0262938,-0.57863
505.584,-1.34527,-1.36471,0.0194363,-1.35259,514.448,-0.620647,-0.638505,0.0178581,-0.63723,518.097,-0.559488,-0.586039,0.0265517,-0.578646
505.623,-1.34548,-1.36497,0.0194993,-1.35273,514.493,-0.62063,-0.638656,0.0180263,-0.63736,518.139,-0.559333,-0.586138,0.0268044,-0.578662
505.662,-1.34564,-1.36524,0.0195978,-1.35288,514.538,-0.620631,-0.638807,0.0181762,-0.637491,518.182,-0.55917,-0.586237,0.0270666,-0.578677
505.701,-1.34579,-1.36551,0.0197137,-1.35303,514.583,-0.620633,-0.638958,0.0183252,-0.637621,518.224,-0.559002,-0.586335,0.0273329,-0.578691
505.74,-1.34599,-1.36578,0.0197828,-1.35318,514.628,-0.620637,-0.639109,0.0184725,-0.63775,518.267,-0.558836,-0.586434,0.0275978,-0.578704
505.779,-1.34622,-1.36604,0.0198244,-1.35332,514.673,-0.620628,-0.63926,0.018632,-0.63788,518.309,-0.558673,-0.586532,0.0278591,-0.578716
505.818,-1.34642,-1.36631,0.0198925,-1.35347,514.718,-0.620609,-0.639411,0.0188019,-0.638008,518.352,-0.558534,-0.586631,0.028097,-0.578728
505.857,-1.3466,-1.36658,0.0199776,-1.35361,514.763,-0.620588,-0.639562,0.0189747,-0.638137,518.394,-0.558359,-0.58673,0.0283706,-0.578738
505.896,-1.3468,-1.36684,0.0200479,-1.35376,514.807,-0.620573,-0.639713,0.0191405,-0.638265,518.437,-0.558207,-0.586828,0.0286215,-0.578748
505.935,-1.34694,-1.36711,0.0201736,-1.3539,514.852,-0.620542,-0.639864,0.0193221,-0.638393,518.479,-0.558074,-0.586927,0.0288526,-0.578757
505.974,-1.34716,-1.36738,0.0202177,-1.35404,514.897,-0.620493,-0.640015,0.0195228,-0.638521,518.522,-0.557939,-0.587026,0.0290871,-0.578765
