# DSC deconvolution: T (C), smoothed signal, baseline, components (mW/mg).
T_C_1K,DSC_smoothed_1K,baseline_1K,peak_minus_baseline_1K,FS_fit_1K,T_C_3K,DSC_smoothed_3K,baseline_3K,peak_minus_baseline_3K,FS_fit_3K,T_C_5K,DSC_smoothed_5K,baseline_5K,peak_minus_baseline_5K,FS_fit_5K
285.188,-0.27996,-0.279628,0,-0.279628,282.278,-0.209304,-0.207949,0,-0.207949,286.233,-0.190976,-0.190178,0,-0.190178
285.189,-0.279954,-0.279628,0,-0.279628,282.28,-0.209311,-0.207941,0,-0.207941,286.235,-0.190971,-0.190168,0,-0.190168
285.191,-0.279947,-0.279627,0,-0.279627,282.282,-0.209319,-0.207934,0,-0.207934,286.237,-0.190967,-0.190158,0,-0.190158
285.192,-0.279939,-0.279626,0,-0.279626,282.284,-0.209327,-0.207927,0,-0.207927,286.239,-0.190964,-0.190149,0,-0.190149
285.194,-0.27993,-0.279626,0,-0.279626,282.286,-0.209334,-0.20792,0,-0.20792,286.241,-0.19096,-0.190139,0,-0.190139
285.195,-0.279921,-0.279625,0,-0.279625,282.288,-0.209342,-0.207912,0,-0.207912,286.242,-0.190956,-0.190129,0,-0.190129
285.197,-0.279912,-0.279624,0,-0.279624,282.29,-0.20935,-0.207905,0,-0.207905,286.244,-0.190952,-0.190119,0,-0.190119
285.198,-0.279903,-0.279623,0,-0.279623,282.292,-0.209358,-0.207898,0,-0.207898,286.246,-0.190948,-0.190109,0,-0.190109
285.199,-0.279893,-0.279623,0,-0.279623,282.295,-0.209366,-0.20789,0,-0.20789,286.248,-0.190944,-0.190099,0,-0.190099
285.201,-0.279882,-0.279622,0,-0.279622,282.297,-0.209374,-0.207883,0,-0.207883,286.249,-0.190939,-0.190089,0,-0.190089
285.202,-0.279871,-0.279621,0,-0.279621,282.299,-0.209382,-0.207876,0,-0.207876,286.251,-0.190934,-0.19008,0,-0.19008
