#EXPORTTYPE:DATA SINGLE
#FILE:M-TBA_m=6.03Ï„_30-590-20 C_3Kmin.ngb-sd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:02
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:
#DATE/TIME:23.04.2025 15:30
#CORR. FILE:
#TEMPCAL:13.02.2020_concavus.ngb-td7
#SENSITIVITY:24.09.2020_sensitivity.ngb-ed7
#LABORATORY:
#OPERATOR:
#REMARK:ÚË„ÂÎ¸:  m=23.78 Ï„  Á‡ÔÂÒÒÓ‚‡Ì
#SAMPLE:M-TBA
#SAMPLE MASS /mg:6.03
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Pan Al, open
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:30∞C/3,0(K/min)/590∞C/30,0(K/min)/20∞C/
#SEGMENT:S1/2
#SEG. 1:30∞C/3,0(K/min)/590∞C
#SEG. 2:590∞C/30,0(K/min)/20∞C

##Temp./∞C;Time/min;DSC/(mW/mg);Sensit./(uV/mW);Segment
293.13464;87.70149;    -0.17534;2.71818;1
293.13674;87.70219;    -0.17531;2.71818;1
293.13884;87.70289;    -0.17530;2.71817;1
293.14094;87.70359;    -0.17528;2.71817;1
293.14304;87.70429;    -0.17526;2.71816;1
293.14514;87.70499;    -0.17524;2.71815;1
293.14725;87.70569;    -0.17522;2.71815;1
293.14935;87.70639;    -0.17521;2.71814;1
293.15145;87.70708;    -0.17517;2.71813;1
293.15355;87.70778;    -0.17513;2.71813;1
293.15565;87.70848;    -0.17509;2.71812;1
293.15775;87.70918;    -0.17508;2.71812;1
293.15985;87.70988;    -0.17506;2.71811;1
293.16195;87.71058;    -0.17502;2.71810;1
293.16405;87.71128;    -0.17498;2.71810;1
293.16615;87.71198;    -0.17495;2.71809;1
293.16825;87.71267;    -0.17493;2.71808;1
293.17035;87.71337;    -0.17491;2.71808;1
293.17245;87.71407;    -0.17487;2.71807;1
293.17455;87.71477;    -0.17483;2.71807;1
293.17665;87.71547;    -0.17481;2.71806;1
293.17875;87.71617;    -0.17479;2.71805;1
293.18085;87.71687;    -0.17477;2.71805;1
293.18295;87.71757;    -0.17473;2.71804;1
293.18505;87.71826;    -0.17469;2.71803;1
293.18715;87.71896;    -0.17466;2.71803;1
293.18925;87.71966;    -0.17464;2.71802;1
293.19135;87.72036;    -0.17463;2.71802;1
293.19345;87.72106;    -0.17461;2.71801;1
293.19555;87.72176;    -0.17459;2.71800;1
293.19765;87.72246;    -0.17457;2.71800;1
