#EXPORTTYPE:DATA ALL
#FILE:Mel_m=3.89ìã_30-600-20 C_5Kmin.ngb-sd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:01
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:
#DATE/TIME:17.06.2026 18:01
#CORR. FILE:
#TEMPCAL:13.02.2020_concavus.ngb-td7
#SENSITIVITY:24.09.2020_sensitivity.ngb-ed7
#LABORATORY:
#OPERATOR:
#REMARK:òèãåëü:  m=23,55 ìã  çàïðåññîâàí  äî ýêñïåð. m=46,05 ìã
#SAMPLE:Mel
#SAMPLE MASS /mg:3.89
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Pan Al, open
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:30°C/5,0(K/min)/600°C/30,0(K/min)/20°C/
#SEGMENT:S1-2/2
#SEG. 1:30°C/5,0(K/min)/600°C
#SEG. 2:600°C/30,0(K/min)/20°C

##Temp./°C;Time/min;DSC/(mW/mg);Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW);Segment
191.21464; 32.23200;    -0.35525;100.00000;150.00000;2.91563;1
191.25717; 32.24050;    -0.35538;100.00000;150.00000;2.91559;1
191.29966; 32.24900;    -0.35558;100.00000;150.00000;2.91556;1
191.34217; 32.25750;    -0.35571;100.00000;150.00000;2.91552;1
191.38466; 32.26600;    -0.35558;100.00000;150.00000;2.91549;1
191.42717; 32.27450;    -0.35556;100.00000;150.00000;2.91546;1
191.46967; 32.28300;    -0.35569;100.00000;150.00000;2.91542;1
191.51217; 32.29150;    -0.35561;100.00000;150.00000;2.91539;1
191.55466; 32.30000;    -0.35567;100.00000;150.00000;2.91535;1
191.59716; 32.30850;    -0.35566;100.00000;150.00000;2.91532;1
191.63964; 32.31700;    -0.35545;100.00000;150.00000;2.91528;1
191.68212; 32.32550;    -0.35538;100.00000;150.00000;2.91525;1
191.72456; 32.33400;    -0.35552;100.00000;150.00000;2.91521;1
191.76704; 32.34250;    -0.35567;100.00000;150.00000;2.91518;1
191.80951; 32.35100;    -0.35599;100.00000;150.00000;2.91515;1
191.85199; 32.35950;    -0.35635;100.00000;150.00000;2.91511;1
191.89447; 32.36800;    -0.35637;100.00000;150.00000;2.91508;1
191.93696; 32.37650;    -0.35622;100.00000;150.00000;2.91504;1
191.97944; 32.38500;    -0.35621;100.00000;150.00000;2.91501;1
192.02192; 32.39350;    -0.35607;100.00000;150.00000;2.91497;1
192.06440; 32.40200;    -0.35620;100.00000;150.00000;2.91494;1
192.10688; 32.41050;    -0.35604;100.00000;150.00000;2.91490;1
192.14935; 32.41900;    -0.35605;100.00000;150.00000;2.91487;1
192.19182; 32.42750;    -0.35632;100.00000;150.00000;2.91483;1
192.23427; 32.43600;    -0.35638;100.00000;150.00000;2.91480;1
192.27675; 32.44450;    -0.35644;100.00000;150.00000;2.91476;1
192.31921; 32.45300;    -0.35630;100.00000;150.00000;2.91473;1
192.36168; 32.46150;    -0.35628;100.00000;150.00000;2.91469;1
192.40415; 32.47000;    -0.35641;100.00000;150.00000;2.91466;1
192.44661; 32.47850;    -0.35640;100.00000;150.00000;2.91462;1
192.48906; 32.48700;    -0.35648;100.00000;150.00000;2.91459;1
192.53152; 32.49550;    -0.35660;100.00000;150.00000;2.91455;1
192.57398; 32.50400;    -0.35668;100.00000;150.00000;2.91452;1
192.61643; 32.51250;    -0.35685;100.00000;150.00000;2.91448;1
192.65890; 32.52100;    -0.35692;100.00000;150.00000;2.91444;1
192.70137; 32.52950;    -0.35665;100.00000;150.00000;2.91441;1
192.74383; 32.53800;    -0.35680;100.00000;150.00000;2.91437;1
192.78628; 32.54650;    -0.35710;100.00000;150.00000;2.91434;1
192.82876; 32.55500;    -0.35669;100.00000;150.00000;2.91430;1
192.87120; 32.56350;    -0.35675;100.00000;150.00000;2.91427;1
192.91366; 32.57200;    -0.35667;100.00000;150.00000;2.91423;1
192.95609; 32.58050;    -0.35694;100.00000;150.00000;2.91420;1
192.99858; 32.58900;    -0.35693;100.00000;150.00000;2.91416;1
193.04103; 32.59750;    -0.35699;100.00000;150.00000;2.91412;1
193.08348; 32.60600;    -0.35712;100.00000;150.00000;2.91409;1
193.12594; 32.61450;    -0.35719;100.00000;150.00000;2.91405;1
193.16840; 32.62300;    -0.35723;100.00000;150.00000;2.91402;1
193.21085; 32.63150;    -0.35717;100.00000;150.00000;2.91398;1
193.25329; 32.64000;    -0.35709;100.00000;150.00000;2.91394;1
193.29575; 32.64850;    -0.35709;100.00000;150.00000;2.91391;1
193.33822; 32.65700;    -0.35717;100.00000;150.00000;2.91387;1
193.38068; 32.66550;    -0.35721;100.00000;150.00000;2.91384;1
193.42312; 32.67400;    -0.35729;100.00000;150.00000;2.91380;1
193.46555; 32.68250;    -0.35753;100.00000;150.00000;2.91376;1
193.50801; 32.69100;    -0.35767;100.00000;150.00000;2.91373;1
193.55045; 32.69950;    -0.35792;100.00000;150.00000;2.91369;1
193.59291; 32.70800;    -0.35785;100.00000;150.00000;2.91365;1
193.63539; 32.71650;    -0.35778;100.00000;150.00000;2.91362;1
193.67787; 32.72500;    -0.35784;100.00000;150.00000;2.91358;1
193.72038; 32.73350;    -0.35796;100.00000;150.00000;2.91354;1
193.76286; 32.74200;    -0.35816;100.00000;150.00000;2.91351;1
